Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-01 00:00:00,830400,AATE,14,POOL SPECIALIST-Retailers,"349,13",6183514,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,064372,LS TECHNIQUE MEDITERRANEE,14,POOL SPECIALIST-Retailers,"70,62",2108967,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,120478,EAU PISCINES SERVICES ROUERGUE,15,POOL SPECIALIST-Instal/Builder,"144,04",4441899,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,130200,ESPAC'O,14,POOL SPECIALIST-Retailers,"543,92",3227539,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,179957,VERT MARINE 17,14,POOL SPECIALIST-Retailers,"555,62",1413060,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,257165,FRAVILLE PISCINES ET SPAS,15,POOL SPECIALIST-Instal/Builder,"46,49",9131351,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,260129,CAM POOL,14,POOL SPECIALIST-Retailers,"308,47",2629156,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,270013,CEF YESSS - VERNON,42,HVAC/CONSTRUCT.-Whosale&Retail,"881,40",1581330,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,290206,Iroise Piscines & Spas,14,POOL SPECIALIST-Retailers,"96,41",7115989,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,297027,CORNOUAILLE PISCINES,14,POOL SPECIALIST-Retailers,"574,79",7116015,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,340312,ALLINGRI SARL - HYDRO SUD,14,POOL SPECIALIST-Retailers,"114,60",4441284,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,348487,A L'EAU DE SOURCE,14,POOL SPECIALIST-Retailers,"521,62",4442164,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,348487,A L'EAU DE SOURCE,14,POOL SPECIALIST-Retailers,"391,89",4442270,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,354634,IMS,42,HVAC/CONSTRUCT.-Whosale&Retail,"10827,63",4319589,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,357810,PISCINES 35 - ESPRIT PISCINE,14,POOL SPECIALIST-Retailers,"2341,25",7115597,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,370707,PISCINE 37,14,POOL SPECIALIST-Retailers,"66,99",4322194,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,423209,ENTRE PISCINE ET JARDINS,14,POOL SPECIALIST-Retailers,"642,88",2414517,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,442209,GRAND OUEST PISCINE__C1,15,POOL SPECIALIST-Instal/Builder,"46,20",7116032,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,450146,PIXEAU,14,POOL SPECIALIST-Retailers,"931,78",1584135,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,470416,PISCINE MARMANDAISE (MARMANDE PISCINES),14,POOL SPECIALIST-Retailers,"671,16",1130501,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,474706,LAURENT PISCINE - MR DEBOURGES LAURENT,14,POOL SPECIALIST-Retailers,"307,35",1131520,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,680311,ZUSSY THIERRY/ELSASS'LINER,16,POOL SPECIALIST-Mobile/Service,"1818,96",9131352,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,694777,CODEV - COOPERATIVE PISCINIERS,14,POOL SPECIALIST-Retailers,"176,80",2414577,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,725231,IDEALE PISCINE,14,POOL SPECIALIST-Retailers,"1214,93",4321846,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,776526,OCEA - MONDIAL PISCINE,14,POOL SPECIALIST-Retailers,"282,68",1584167,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,830569,PISCINES SERVICES GOLFE DE ST TROPEZ,16,POOL SPECIALIST-Mobile/Service,"180,14",6183471,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,832638,ESPACE PISCINES 83,14,POOL SPECIALIST-Retailers,"-263,98",6182455,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-02 00:00:00,910182,THERM'ESSONNE POLE THERMIQUE,42,HVAC/CONSTRUCT.-Whosale&Retail,"245,99",1582521,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,040355,SOS PISCINES - COOPERATIVE PISCINIERS,14,POOL SPECIALIST-Retailers,"120,82",6183320,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,127757,RIVIERE PISCINES,14,POOL SPECIALIST-Retailers,"319,70",4442708,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,160012,DEMEURES & PISCINES,16,POOL SPECIALIST-Mobile/Service,"308,00",1413070,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,175059,RES'EAU TECH,14,POOL SPECIALIST-Retailers,"34,87",1413124,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,178453,AQUA CREATIONS - HYDRO SUD,14,POOL SPECIALIST-Retailers,"59,08",1413059,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,179790,TOURTELOT PISCINE SARL,14,POOL SPECIALIST-Retailers,"726,34",1412344,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,180076,PPM - PRESTATION PRODUCTION MARTINAT,14,POOL SPECIALIST-Retailers,"363,84",4321578,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,210226,AQUA SERVICES JARDINS & PISCINES,14,POOL SPECIALIST-Retailers,"259,69",2629181,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,265200,POOL SWEET POOL EAUX COULEURS PISCINES,14,POOL SPECIALIST-Retailers,"300,56",2629162,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,265200,POOL SWEET POOL EAUX COULEURS PISCINES,14,POOL SPECIALIST-Retailers,"3366,48",2629362,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,273370,EGI PISCINE 27 - EAU SHOP,14,POOL SPECIALIST-Retailers,"35,01",4321754,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,314895,H2O MAINTENANCE SASU,14,POOL SPECIALIST-Retailers,"83,10",1131643,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,315323,LOISIRS 2000,14,POOL SPECIALIST-Retailers,"140,26",1131600,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,333194,DE MELO PISCINES SAS,14,POOL SPECIALIST-Retailers,"732,78",4225625,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,333194,DE MELO PISCINES SAS,14,POOL SPECIALIST-Retailers,"472,50",4225960,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,370707,PISCINE 37,14,POOL SPECIALIST-Retailers,"84,96",4322193,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,444970,JARDINS PISCINES SERVICES - ESPRIT,14,POOL SPECIALIST-Retailers,"1362,40",7116028,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,470811,PROTEC PISCINES,14,POOL SPECIALIST-Retailers,"534,54",1131599,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,477176,FAUILLET PISCINES__C1,14,POOL SPECIALIST-Retailers,"529,34",1131601,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,547627,REFLEX BLEU,14,POOL SPECIALIST-Retailers,"605,28",9130401,25
