Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,53410,DEGRIL RENE SARL,14,POOL SPECIALIST-Retailers,971.14,6178657,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,64372,LS TECHNIQUE MEDITERRANEE,14,POOL SPECIALIST-Retailers,523.76,2107568,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,220015,BIOTOPE CONCEPTION,23,NPOOL SPECIALIS-Hardware Store,212.60,7112189,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,433500,COSY PISCINE/ECL OUTDOOR - EAU SHOP,14,POOL SPECIALIST-Retailers,712.80,2626584,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,470811,PROTEC PISCINES,14,POOL SPECIALIST-Retailers,180.00,1127543,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,548008,MULTI RENOVATIONS-BLEU COM PISCINE,14,POOL SPECIALIST-Retailers,958.52,9122636,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,720186,THERMIC CHARPENTIER - LE MANS,42,HVAC/CONSTRUCT.-Whosale&Retail,1201.42,4319268,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,745309,JBS maintenance,14,POOL SPECIALIST-Retailers,853.60,2410053,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,780025,AQUA SYSTEM - ESPRIT PISCINE,14,POOL SPECIALIST-Retailers,655.00,1580435,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,846629,N2B 84,28,NPOOL SPECIALIS-Craftsman/Plum,758.50,1354227,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,15527,TALYA,14,POOL SPECIALIST-Retailers,101.51,2410051,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,40355,SOS PISCINES - LA COOP,14,POOL SPECIALIST-Retailers,45.96,6178710,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,210613,SR PISCINE,16,POOL SPECIALIST-Mobile/Service,252.12,2621866,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,323019,PISCINES BEOUSTES - FUSION,14,POOL SPECIALIST-Retailers,2703.80,1128019,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,353135,EDEN ET EAU,14,POOL SPECIALIST-Retailers,658.45,7112503,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,386378,NILS H20,14,POOL SPECIALIST-Retailers,1275.00,2410055,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,400031,MANOSA SPAS,14,POOL SPECIALIST-Retailers,1184.50,3043062,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,430008,OLIVIER SERVICES PISCINES,16,POOL SPECIALIST-Mobile/Service,107.66,7112220,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,494775,LOIRE PISCINE JARDIN,14,POOL SPECIALIST-Retailers,677.98,4319604,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,610265,MABILLE - FLERS,42,HVAC/CONSTRUCT.-Whosale&Retail,0.00,4319483,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-04 00:00:00,766020,JP MOREAU ETS - EAU SHOP,14,POOL SPECIALIST-Retailers,138.72,1580437,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,60272,AQUATECH HC,14,POOL SPECIALIST-Retailers,11.80,2107722,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,64974,ROMAIN RICHARD,14,POOL SPECIALIST-Retailers,181.15,2107474,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,65971,CHM,16,POOL SPECIALIST-Mobile/Service,320.10,2107810,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,290416,AQUASCOP - AQUASHOW,35,PUBLIC POOL    -Hospitality,78.68,7112504,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,347643,RH DIFFUSION - COOPERATIVE PISCINIERS,14,POOL SPECIALIST-Retailers,928.65,4438769,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,356393,OUEST PISCINE CONCEPT - HYDRO SUD,14,POOL SPECIALIST-Retailers,911.35,7112502,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,357487,PISCINE EVOLUTION,14,POOL SPECIALIST-Retailers,1388.40,7112550,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,386378,NILS H20,14,POOL SPECIALIST-Retailers,157.85,2410055,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,440059,EAU CLAIRE PISCINE EURL,16,POOL SPECIALIST-Mobile/Service,393.81,7112469,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,455143,OASIS PISCINES 45 - TRADI PISCINES,14,POOL SPECIALIST-Retailers,816.75,1580436,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,490184,THERMIC CHARPENTIER - ANGERS,42,HVAC/CONSTRUCT.-Whosale&Retail,408.37,4319649,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,560017,FILEO BATIMENT - BATI SITTELLE,28,NPOOL SPECIALIS-Craftsman/Plum,929.27,7112088,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,590059,DIS.ELEC - MARCQ EN BAROEUL,42,HVAC/CONSTRUCT.-Whosale&Retail,-957.90,1576527,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,590059,DIS.ELEC - MARCQ EN BAROEUL,42,HVAC/CONSTRUCT.-Whosale&Retail,-994.36,1576800,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,786414,OUEST PISCINES SERVICES,14,POOL SPECIALIST-Retailers,1489.20,1580491,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,836948,PHP PISCINE,14,POOL SPECIALIST-Retailers,419.62,6178151,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-05 00:00:00,919060,AQUAVEX,23,NPOOL SPECIALIS-Hardware Store,292.05,1580322,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-06 00:00:00,440059,EAU CLAIRE PISCINE EURL,16,POOL SPECIALIST-Mobile/Service,600.39,7112469,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-06 00:00:00,490184,THERMIC CHARPENTIER - ANGERS,42,HVAC/CONSTRUCT.-Whosale&Retail,4.74,4319649,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-06 00:00:00,806910,BIGMAT - LOMINARD SARL,42,HVAC/CONSTRUCT.-Whosale&Retail,10071.77,1578923,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-06 00:00:00,853511,EASY PISCINES ET SPA,15,POOL SPECIALIST-Instal/Builder,463.89,1409786,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-07 00:00:00,65971,CHM,16,POOL SPECIALIST-Mobile/Service,292.05,2107810,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-07 00:00:00,168038,SOATEC - HYDRO SUD,14,POOL SPECIALIST-Retailers,840.30,1409990,25
