Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,309,FAWRONA LTD T/A BUTLER SERVICE,15,POOL SPECIALIST-Instal/Builder,4069.83,525803,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,836,KB POOLS LTD,15,POOL SPECIALIST-Instal/Builder,473.38,525662,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,1124,PHYSICAL COMPANY LTD,12,POOL SPECIALIST-W/Man.National,91.17,525804,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,1391,SMALLBONE POOLS LIMITED,,,336.09,525281,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,2257,HEAT PUMPS 4 POOLS LTD,15,POOL SPECIALIST-Instal/Builder,135.79,525689,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,2393,COMPLETE SWIMMING POOL SERVICES LTD,15,POOL SPECIALIST-Instal/Builder,487.49,525802,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,3807,T/A HOT TUB HUB,15,POOL SPECIALIST-Instal/Builder,237.44,525869,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,3807,T/A HOT TUB HUB,15,POOL SPECIALIST-Instal/Builder,14.31,HAZARDOUS,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,4041,TOTAL POOL CARE LTD !,15,POOL SPECIALIST-Instal/Builder,172.6,525723,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,04/01/22 0:00,4165,CIRENCESTER POOLS!,15,POOL SPECIALIST-Instal/Builder,176.22,525818,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,05/01/22 0:00,96,AQUA LEISURE LTD,15,POOL SPECIALIST-Instal/Builder,737.01,525937,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,05/01/22 0:00,1159,POOL SUPPLIES LTD,12,POOL SPECIALIST-W/Man.National,-61.33,,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,05/01/22 0:00,1159,POOL SUPPLIES LTD,12,POOL SPECIALIST-W/Man.National,391.64,525741,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,05/01/22 0:00,1194,POOL 'N' SPA SERVICES LTD,15,POOL SPECIALIST-Instal/Builder,-74.28,520158,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,05/01/22 0:00,2140,ATOLL CONSTRUCTION LTD,15,POOL SPECIALIST-Instal/Builder,217.42,525983,25
