Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,101822,SUMINISTROS DE FONTANERIA CASTELLON S.L.,42,HVAC/CONSTRUCT.-Whosale&Retail,"639,95",461091,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,109055,"CLIMAPOOL INSULAR, S.L.U. (LAS PALMAS)",14,POOL SPECIALIST-Retailers,"6077,00",459851,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,109233,"M.M. 2004 SERDEMA, S.L.",15,POOL SPECIALIST-Instal/Builder,"1399,25",460979,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,112668,ITESA PROYECTOS E INSTALACIONES S.L.,23,NPOOL SPECIALIS-Hardware Store,"237,51",461087,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,115430,NOVA RECAL SERVICIOS Y MANTENIMIENTO S.L,29,NPOOL SPECIALIS-Wholesaler,"793,10",459372,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,116716,"SUPPLAID SUBMINISTRE ASSISTIT, S.L.",23,NPOOL SPECIALIS-Hardware Store,"197,67",460793,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,117337,"TU PISCINA EN CASA, S.L.",11,POOL SPECIALIST-W/Man.Internat,"-13,56","",25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,117337,"TU PISCINA EN CASA, S.L.",11,POOL SPECIALIST-W/Man.Internat,"-453,20",452284,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,119824,"FENIX PISCINAS , S.C.",16,POOL SPECIALIST-Mobile/Service,"382,43",460880,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,120101,PISCINAS DEL ESTRECHO S.L.,15,POOL SPECIALIST-Instal/Builder,"6,43",461056,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,120967,"PLASTINIK, S.L.",29,NPOOL SPECIALIS-Wholesaler,"593,51",456897,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,123392,NOVELEC ANTAS S.L.,"","","-338,52",446897,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,202855,"FERRETERIA FERROMAR, S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"283,50",461176,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,301689,CEMENTOS BENIDORM S.A.,29,NPOOL SPECIALIS-Wholesaler,"836,06",461267,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,305388,"APARISI FERRER, JOSEFA",16,POOL SPECIALIST-Mobile/Service,"31,40",461086,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,306067,IRRIAGRO S.COOP.V.L.,14,POOL SPECIALIST-Retailers,"-38,43",457715,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,408447,"GONZALEZ LOPEZ, C.B.",23,NPOOL SPECIALIS-Hardware Store,"-11,32",355694,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,504043,"CODISNA, S.L.",15,POOL SPECIALIST-Instal/Builder,"-168,81",446651,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,504104,"GISPERT, DEPURACION DE AGUAS, S.A.",15,POOL SPECIALIST-Instal/Builder,"1895,40",461157,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,504355,"HIDRO-TARRACO, S.A (PROV. 17050)",12,POOL SPECIALIST-W/Man.National,"-97,23",457093,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-02 00:00:00,504355,"HIDRO-TARRACO, S.A (PROV. 17050)",12,POOL SPECIALIST-W/Man.National,"567,92",461109,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,004841,"GARCIA MASIDE, JOSE",14,POOL SPECIALIST-Retailers,"6047,30",451471,23
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,100245,POOLPLUS S.L. (ON LINE),14,POOL SPECIALIST-Retailers,"86,27",461699,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,100245,POOLPLUS S.L. (ON LINE),14,POOL SPECIALIST-Retailers,"253,89",461738,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,101901,"QUIMICOS LOS ABUELOS, S.L.",14,POOL SPECIALIST-Retailers,"548,08",461670,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,101901,"QUIMICOS LOS ABUELOS, S.L.",14,POOL SPECIALIST-Retailers,"534,87",461734,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,103225,"SANEAMIENTOS RIGA, S.L.",2A,NPOOL SPECIALIS- Retailers,"425,14",461748,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,106170,"MANEIG PISCINES, S.L.",15,POOL SPECIALIST-Instal/Builder,"876,98",461737,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,106576,"ESPAI INTEGRAL DE PISCINES, S.L.(GIRONA)",14,POOL SPECIALIST-Retailers,"47,85",461696,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"84,31",461687,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"6,14",461688,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"5,45",461729,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"3,38",461735,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"21,70",461746,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"73,50",461773,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,109233,"M.M. 2004 SERDEMA, S.L.",15,POOL SPECIALIST-Instal/Builder,"409,00",460979,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,112120,ARROMEL S.L.,15,POOL SPECIALIST-Instal/Builder,"216,00",461683,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,112347,"RIVAS PEÑA,JESUS JUAN",28,NPOOL SPECIALIS-Craftsman/Plum,"18,18",461421,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,113575,"LIZASO VERGARA, S.L.",2A,NPOOL SPECIALIS- Retailers,"196,80",460745,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,115279,"FERRETERIA LAS NAVES, S.L.",23,NPOOL SPECIALIS-Hardware Store,"25,85",461741,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,116322,TIENDA-PISCINAS  S.L.,14,POOL SPECIALIST-Retailers,"84,11",456822,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,116649,"SOLUCIONES TECNICAS MADOS,S.L.U.",35,PUBLIC POOL    -Hospitality,"700,74",461038,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,118491,AQUAFER PISCINAS S.L.,15,POOL SPECIALIST-Instal/Builder,"72,17",461700,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,121291,"GUNITEC MALUMAR, S.L.",14,POOL SPECIALIST-Retailers,"355,50",460909,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,121291,"GUNITEC MALUMAR, S.L.",14,POOL SPECIALIST-Retailers,"801,69",461790,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,121717,"CLIMAPOOL INSULAR, S.L.U. (TENERIFE)","","","2245,69",459852,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,121983,DEVESA PISCINAS SL,"","","219,95",460726,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,123183,"PISCINARIUM, S.L.","","","-511,50",444264,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,123930,"LLUCH APARISI, VICENTE (R.E)","","","0,00",455949,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,123930,"LLUCH APARISI, VICENTE (R.E)","","","427,34",461406,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,202855,"FERRETERIA FERROMAR, S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"96,46",461742,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,202855,"FERRETERIA FERROMAR, S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"26,63",461752,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2023,2023-01-03 00:00:00,205252,"MERINO PISCINAS, S.L.",14,POOL SPECIALIST-Retailers,"328,16",461588,25
