Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-29 00:00:00,0792,ROGER JAMES POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"169,22",0555648,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0390,CLEARWAY POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"275,16",0545257,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0390,CLEARWAY POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"14,60",HAZARDOUS,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0491,K DOWNS SWIMMING POOLS,15,POOL SPECIALIST-Instal/Builder,"195,90",0546983,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0491,K DOWNS SWIMMING POOLS,15,POOL SPECIALIST-Instal/Builder,"391,80",0552290,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0491,K DOWNS SWIMMING POOLS,15,POOL SPECIALIST-Instal/Builder,"356,58",0553927,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0491,K DOWNS SWIMMING POOLS,15,POOL SPECIALIST-Instal/Builder,"561,87",0555892,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0836,KB POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"1634,38",0556301,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0836,KB POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"14,60",HAZARDOUS,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1024,CAMPBELL POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"1265,83",0544307,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1024,CAMPBELL POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"413,29",0553741,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1024,CAMPBELL POOLS LTD,15,POOL SPECIALIST-Instal/Builder,"3043,54",0556323,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1200,POOLS PLUS LLP,15,POOL SPECIALIST-Instal/Builder,"61,17",0555558,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1200,POOLS PLUS LLP,15,POOL SPECIALIST-Instal/Builder,"1411,51",0556345,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,"84,34",0540664,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,"1315,36",0555044,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,"324,34",0555283,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,"182,07",0555285,25
141 - CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,1441,SPRUCE SERVICES LIMITED,15,POOL SPECIALIST-Instal/Builder,"142,22",0555420,25
