Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,066131,VERGONI PISCINE,14,POOL SPECIALIST-Retailers,"23,07",2110818,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,131404,DELTA PISCINES,14,POOL SPECIALIST-Retailers,"216,00",3230474,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,160221,PH7 PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"137,80",1415576,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,244640,HYDROPUR PISCINES MORINAUD,15,POOL SPECIALIST-Instal/Builder,"244,15",4228840,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,249809,VAUNAC PISCINE,14,POOL SPECIALIST-Retailers,"854,88",4229268,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,308279,SOS PISCINE,14,POOL SPECIALIST-Retailers,"291,63",1372664,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,314479,ILOE,14,POOL SPECIALIST-Retailers,"2180,25",1134561,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,327490,PISCINES DU VAL D'ADOUR,14,POOL SPECIALIST-Retailers,"73,84",1134516,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,330735,NATUREO CONCEPT,15,POOL SPECIALIST-Instal/Builder,"297,35",4229282,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,334793,GRANDE AQUITAINE PISCINES,15,POOL SPECIALIST-Instal/Builder,"42,73",4229209,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,349674,TECHNIC PISCINES,14,POOL SPECIALIST-Retailers,"5,93",4445357,25
050 - FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,440253,PRESTATIONS PISCINE,14,POOL SPECIALIST-Retailers,"1086,80",7118388,25
