Company (code+name),Year,Delivery note date,Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-01 00:00:00,107066,"NOMAR R.B., S.L.",17,POOL SPECIALIST-IntDealer/BtoC,"654,94",224840,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,004068,"COSAGUA,S.L.",15,POOL SPECIALIST-Instal/Builder,"1328,85",220329,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,007638,"SUCESORES DE MORENO, S.L.",15,POOL SPECIALIST-Instal/Builder,"331,41",234692,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,007638,"SUCESORES DE MORENO, S.L.",15,POOL SPECIALIST-Instal/Builder,"322,96",237955,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,009113,"COPIL, S.L.",15,POOL SPECIALIST-Instal/Builder,"13,16",238484,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,100245,POOLPLUS S.L. (ON LINE),14,POOL SPECIALIST-Retailers,"27,49",214042,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,100245,POOLPLUS S.L. (ON LINE),14,POOL SPECIALIST-Retailers,"38,42",237987,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,100245,POOLPLUS S.L. (ON LINE),14,POOL SPECIALIST-Retailers,"57,80",238515,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,101676,HERMANOS MEDINA UNGUETTI S.L.,14,POOL SPECIALIST-Retailers,"10,95",231046,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,104866,"SUAREP Y LLADO, S.A.",23,NPOOL SPECIALIS-Hardware Store,"779,04",233968,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,104896,"SANEAMIENTOS AVILA, S.A.U.",14,POOL SPECIALIST-Retailers,"17,66",232781,25
002 - FLUIDRA COMERCIAL ESPAÑA SAU,2022,2022-05-02 00:00:00,105872,INSTALACIONES DE CONTROL BACTERIOLOGICO,14,POOL SPECIALIST-Retailers,"280,28",237727,25
