Company [code+name],Year,Booking date (order),Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-06 00:00:00,0003,A A Pools,15,POOL SPECIALIST-Instal/Builder,"935,51",0545651,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-19 00:00:00,0003,A A Pools,15,POOL SPECIALIST-Instal/Builder,"221,79",0548344,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-30 00:00:00,0003,A A Pools,15,POOL SPECIALIST-Instal/Builder,"134,32",0550421,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-07 00:00:00,0003,A A Pools,15,POOL SPECIALIST-Instal/Builder,"247,94",0567739,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-29 00:00:00,0003,A A Pools,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-14 00:00:00,0016,AG BUDGET SWIMMING POOLS,15,POOL SPECIALIST-Instal/Builder,"580,16",0568807,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-08 00:00:00,0016,AG BUDGET SWIMMING POOLS,15,POOL SPECIALIST-Instal/Builder,"183,97",0575636,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-01 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"1369,64",0534160,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-15 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"-435,22",0534160,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-15 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"584,76",0536491,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-24 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"4145,00",0538087,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-03 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"619,36",0544769,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"324,30",0556360,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-06 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"45,72",0557425,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-08 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"268,56",0557894,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-26 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"157,37",0569902,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-11 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"2516,83",0572185,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-25 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"199,98",0573810,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-01 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-03 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-30 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-26 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-11 00:00:00,0045,ALMA TRON LIMITED,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-04 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"151,15",0556929,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-23 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"757,25",0560736,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-25 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"216,36",0560911,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-08 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"329,66",0563240,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-09 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"216,36",0563425,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-12 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"387,43",0564200,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-15 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"151,15",0564481,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-22 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"255,16",0565412,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-06 00:00:00,0057,ALL SWIM LTD,15,POOL SPECIALIST-Instal/Builder,"151,15",0567502,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-31 00:00:00,0091,AQUAFAYRE POOL & LEISURE SVCS,15,POOL SPECIALIST-Instal/Builder,"12,52",0550832,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-01-04 00:00:00,0096,AQUA LEISURE LTD,15,POOL SPECIALIST-Instal/Builder,"730,82",0525937,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-06 00:00:00,0096,AQUA LEISURE LTD,15,POOL SPECIALIST-Instal/Builder,"1855,93",0551286,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-22 00:00:00,0096,AQUA LEISURE LTD,15,POOL SPECIALIST-Instal/Builder,"101,28",0555028,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-23 00:00:00,0096,AQUA LEISURE LTD,15,POOL SPECIALIST-Instal/Builder,"1234,88",0555032,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-08 00:00:00,0117,AQUASWIM SERVICES LIMITED!,15,POOL SPECIALIST-Instal/Builder,"-383,22",DR33799,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-02-10 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1305,01",0531106,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-02-14 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"901,70",0531674,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-02-21 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"426,80",0532601,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-02-22 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1655,07",0532895,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-02-24 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"139,15",0533333,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-02 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1603,06",0534241,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-09 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1108,87",0535536,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-24 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"104,46",0538116,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"349,30",0538446,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-07 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"166,23",0540777,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-11 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"449,07",0541104,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-12 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"481,56",0541379,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-17 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"14,48",0547874,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-27 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1223,73",0550184,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-05-30 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"344,40",0550656,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-08 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1454,33",0552025,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-10 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"964,07",0552437,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-14 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1315,46",0553030,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"208,28",0555820,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-05 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"546,95",0557381,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-12 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1153,39",0558767,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"178,26",0561565,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"424,26",0561782,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-23 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"62,59",0565593,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-29 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1816,08",0566364,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-22 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"312,42",0569740,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-29 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"332,19",0570516,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-14 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1030,16",0572653,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-23 00:00:00,0130,AQUASCAPES LTD,15,POOL SPECIALIST-Instal/Builder,"5031,23",0537919,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-11 00:00:00,0130,AQUASCAPES LTD,15,POOL SPECIALIST-Instal/Builder,"22,53",0541106,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-01 00:00:00,0130,AQUASCAPES LTD,15,POOL SPECIALIST-Instal/Builder,"243,73",0556525,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-07 00:00:00,0131,AQUASCAPE SWIMMING POOL LTD,15,POOL SPECIALIST-Instal/Builder,"95,48",0571682,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-22 00:00:00,0131,AQUASCAPE SWIMMING POOL LTD,15,POOL SPECIALIST-Instal/Builder,"51,66",0577416,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-21 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"397,94",0554607,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-03 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"417,65",0562617,25
