Company [code+name],Year,Booking date (order),Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-13 00:00:00,010113,LES COQUES DE BRESSE,16,POOL SPECIALIST-Mobile/Service,"3468,48",2414992,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-19 00:00:00,010113,LES COQUES DE BRESSE,16,POOL SPECIALIST-Mobile/Service,"1067,92",2418242,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-12 00:00:00,010113,LES COQUES DE BRESSE,16,POOL SPECIALIST-Mobile/Service,"1724,47",2421076,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-30 00:00:00,010124,VACHOD - A L EAU PISCINE,16,POOL SPECIALIST-Mobile/Service,"383,81",2417754,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-10 00:00:00,010124,VACHOD - A L EAU PISCINE,16,POOL SPECIALIST-Mobile/Service,"298,00",2419547,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-31 00:00:00,010124,VACHOD - A L EAU PISCINE,16,POOL SPECIALIST-Mobile/Service,"217,67",2419811,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-06 00:00:00,010227,TC PISCINES,15,POOL SPECIALIST-Instal/Builder,"68,64",2421003,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-21 00:00:00,010315,BOUVERANS PISCINES SERVICES,15,POOL SPECIALIST-Instal/Builder,"434,50",2412788,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-02 00:00:00,010315,BOUVERANS PISCINES SERVICES,15,POOL SPECIALIST-Instal/Builder,"54,08",2419248,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-02 00:00:00,010379,NILA,16,POOL SPECIALIST-Mobile/Service,"195,14",2412023,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-21 00:00:00,010388,PISCINE 01 - IBIZA,14,POOL SPECIALIST-Retailers,"508,51",2421959,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-25 00:00:00,011468,DIDO ANTHONY - DID'EAU PISCINES,15,POOL SPECIALIST-Instal/Builder,"55,85",2416055,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-13 00:00:00,011468,DIDO ANTHONY - DID'EAU PISCINES,15,POOL SPECIALIST-Instal/Builder,"321,88",2416935,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-29 00:00:00,011468,DIDO ANTHONY - DID'EAU PISCINES,15,POOL SPECIALIST-Instal/Builder,"705,30",2417843,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-08 00:00:00,012506,GB PISCINE,15,POOL SPECIALIST-Instal/Builder,"80,55",2412204,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-24 00:00:00,012506,GB PISCINE,15,POOL SPECIALIST-Instal/Builder,"607,80",2412930,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-30 00:00:00,012506,GB PISCINE,15,POOL SPECIALIST-Instal/Builder,"52,18",2413187,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-29 00:00:00,012506,GB PISCINE,15,POOL SPECIALIST-Instal/Builder,"280,85",2417856,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-13 00:00:00,012506,GB PISCINE,15,POOL SPECIALIST-Instal/Builder,"177,32",2418527,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-26 00:00:00,012506,GB PISCINE,15,POOL SPECIALIST-Instal/Builder,"-177,32",2418527,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-26 00:00:00,014420,BESSARD PISCINES - MONDIAL,14,POOL SPECIALIST-Retailers,"376,36",2414368,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-19 00:00:00,014420,BESSARD PISCINES - MONDIAL,14,POOL SPECIALIST-Retailers,"306,77",2415692,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-31 00:00:00,014420,BESSARD PISCINES - MONDIAL,14,POOL SPECIALIST-Retailers,"896,84",2416236,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-17 00:00:00,014420,BESSARD PISCINES - MONDIAL,14,POOL SPECIALIST-Retailers,"62,60",2419688,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-08 00:00:00,014967,HYDRO SUD SAINT GENIS GENEVE,14,POOL SPECIALIST-Retailers,"2621,75",2413667,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-04 00:00:00,014967,HYDRO SUD SAINT GENIS GENEVE,14,POOL SPECIALIST-Retailers,"881,36",2416572,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-03 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"107,64",2410051,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-21 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"131,27",2411558,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-11 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"25,16",2412402,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-15 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"22,08",2412573,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-11 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"497,47",2413712,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-19 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"417,92",2414049,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-10 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"524,07",2415152,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-25 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"2120,89",2416086,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-07 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"207,26",2421020,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-04 00:00:00,015527,TALYA,14,POOL SPECIALIST-Retailers,"618,33",2421638,25
